name,model,status,minutes,map50,map,precision,recall,best_epoch,n_epochs
e01_baseline_n_freeze10,yolov8n.pt,ok,0.8,0.84427,0.66167,0.81204,0.75257,132,150
e02_n_freeze0,yolov8n.pt,ok,1.0,0.85116,0.67094,0.82119,0.85071,127,150
e03_n_freeze5,yolov8n.pt,ok,0.9,0.83597,0.68235,0.81076,0.85277,138,150
e04_n_scratch,yolov8n.yaml,ok,1.0,0.73586,0.50168,0.73215,0.7101,111,150
e05_aug_none,yolov8n.pt,ok,0.8,0.81804,0.64562,0.80975,0.77974,55,150
e06_aug_heavy,yolov8n.pt,ok,0.9,0.83812,0.64393,0.75877,0.80781,136,150
e07_aug_card,yolov8n.pt,ok,0.8,0.83846,0.69603,0.87699,0.75821,137,150
e08_fliplr_on_BAD,yolov8n.pt,ok,0.8,0.84427,0.66167,0.81204,0.75257,132,150
e09_imgsz512,yolov8n.pt,ok,0.7,0.83765,0.67549,0.81347,0.75126,141,150
e10_imgsz768,yolov8n.pt,ok,1.0,0.84132,0.67989,0.778,0.75528,140,150
e11_adamw,yolov8n.pt,ok,0.8,0.81199,0.65377,0.78507,0.73869,143,150
e12_lr_low,yolov8n.pt,ok,0.8,0.84427,0.66167,0.81204,0.75257,132,150
e13_yolov8s_freeze10,yolov8s.pt,ok,1.1,0.85219,0.70503,0.87837,0.81235,143,150
e14_yolov8s_freeze0,yolov8s.pt,ok,1.4,0.85097,0.69638,0.83234,0.81126,104,150
e15_long300_card,yolov8n.pt,ok,1.4,0.85366,0.71832,0.78487,0.84234,219,300
e01_baseline_n_freeze10_seed1,yolov8n.pt,ok,0.8,0.84406,0.68182,0.76149,0.81896,142,150
e01_baseline_n_freeze10_seed2,yolov8n.pt,ok,0.8,0.84451,0.67288,0.79922,0.76127,119,150
e07_aug_card_seed1,yolov8n.pt,ok,0.8,0.83961,0.70195,0.86408,0.76854,136,150
e07_aug_card_seed2,yolov8n.pt,ok,0.8,0.84059,0.70276,0.86293,0.77445,136,150
kfold_0,yolov8n.pt,ok,0.7,0.79335,0.65179,0.69319,0.78321,96,120
kfold_1,yolov8n.pt,ok,0.7,0.73695,0.56947,0.7038,0.68735,120,120
kfold_2,yolov8n.pt,ok,0.7,0.85434,0.68138,0.79691,0.82922,97,120
kfold_3,yolov8n.pt,ok,0.7,0.78973,0.59957,0.85396,0.69434,117,120
kfold_4,yolov8n.pt,ok,0.7,0.73512,0.55026,0.77009,0.71205,119,120
